# UV350AG,,,
# ,6 DEG,30 DEG,45 DEG
1921,97.844281,98.104366,97.877101
1920,97.71745,98.130855,97.882072
1919,97.838569,98.039782,97.856422
1918,97.849677,98.103527,97.892345
1917,97.73621,98.25181,97.861065
1916,97.700926,98.134393,97.728266
1915,97.698562,98.085499,97.891822
1914,97.694756,98.108371,97.903406
1913,97.724513,98.038208,98.067458
1912,97.693718,98.118941,97.861337
1911,97.65749,98.103841,97.879816
1910,97.669586,98.115806,98.0828
1909,97.621098,98.130272,97.9262
1908,97.759889,98.067418,97.863994
1907,97.770839,98.111493,97.997772
1906,97.664939,98.10898,97.93231
1905,97.653959,98.110368,98.023766
1904,97.718665,98.118809,97.906429
1903,97.768213,98.077574,97.942603
1902,97.796022,98.255056,97.92738
1901,97.748394,97.953956,97.978607
1900,97.590121,98.131034,97.935068
1899,97.580937,98.184534,97.911683
1898,97.668498,98.071652,97.963218
1897,97.747056,98.189121,98.021592
1896,97.838124,98.160536,97.989503
1895,97.840475,98.201659,97.937645
1894,97.817937,98.179931,97.939008
1893,97.790299,98.269893,97.978212
1892,97.749511,98.273748,98.007315
1891,97.785669,98.314793,98.00555
1890,97.907033,98.25649,97.989882
1889,97.944702,98.192941,98.009103
1888,97.859876,98.227884,97.978925
1887,97.891051,98.235526,97.885805
1886,97.894669,98.211256,97.968292
1885,97.821475,98.190405,97.975888
1884,97.821622,98.257008,98.072974
1883,97.814052,98.236852,97.957391
1882,97.715848,98.264159,97.992116
1881,97.799793,98.231019,98.034361
1880,97.82425,98.248523,98.074321
1879,97.976452,98.280291,97.958222
1878,98.093105,98.257233,98.022353
1877,97.90339,98.280465,97.982492
1876,97.770173,98.270129,98.047002
1875,97.808258,98.247643,97.959311
1874,97.77619,98.223861,98.138474
1873,97.844181,98.229233,98.000765
1872,97.794568,97.964681,98.001176
1871,97.749114,98.301213,98.20086
1870,97.685639,98.3642,97.971463
1869,97.74949,98.397203,97.988652
1868,97.801977,98.31662,98.034632
1867,97.923305,98.095812,97.941492
